ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
2,SPEED,300,1623,441,2,18,246,18,0,0,0,0,0
202,SPEED,300,1760,4210,36,18,127,211,0,0,0,0,0
402,SPEED,300,1917,6149,46,18,-184,-166,0,0,0,0,0
602,SPEED,300,2062,7508,40,18,182,-167,0,0,0,0,0
802,SPEED,300,2191,8537,40,18,198,-148,0,0,0,0,0
1002,SPEED,300,2348,9642,42,18,-147,199,0,0,0,0,0
1202,SPEED,300,2501,10609,44,18,-13,-248,0,0,0,0,0
1402,SPEED,300,2658,11517,36,18,83,232,0,0,0,0,0
1602,SPEED,300,2803,12297,42,18,-240,60,0,0,0,0,0
1802,SPEED,300,2966,13118,38,18,247,10,0,0,0,0,0
2002,SPEED,300,3127,13881,42,18,-245,-36,0,0,0,0,0
2202,SPEED,300,3290,14613,36,18,224,104,0,0,0,0,0
2402,SPEED,300,3447,15285,42,18,-245,-36,0,0,0,0,0
2602,SPEED,300,3607,15941,40,18,244,35,0,0,0,0,0
2802,SPEED,300,3764,16000,42,18,-245,36,0,0,0,0,0
3002,SPEED,300,3926,16000,40,18,247,10,0,0,0,0,0
3202,SPEED,300,4086,16000,44,18,-248,-11,0,0,0,0,0
3402,SPEED,300,4244,16000,40,18,244,-37,0,0,0,0,0
3602,SPEED,300,4413,16000,44,18,-184,-166,0,0,0,0,0
3802,SPEED,300,4570,16000,36,18,224,104,0,0,0,0,0
4002,SPEED,300,4729,16000,46,18,-234,-83,0,0,0,0,0
4202,SPEED,300,4886,16000,14,18,247,10,0,0,0,0,0
4402,SPEED,300,5028,16000,34,18,36,244,0,0,0,0,0
4602,SPEED,300,5204,16000,42,18,244,-37,0,0,0,0,0
4802,SPEED,300,5361,16000,42,18,-224,106,0,0,0,0,0
5002,SPEED,300,5522,16000,40,18,232,-84,0,0,0,0,0
5202,SPEED,300,5680,16000,42,18,-212,127,0,0,0,0,0
5402,SPEED,300,5841,16000,40,18,223,-107,0,0,0,0,0
5602,SPEED,300,6002,16000,44,18,-233,83,0,0,0,0,0
5802,SPEED,300,6159,15438,38,18,198,-148,0,0,0,0,0
6002,SPEED,300,6320,14755,42,18,-212,127,0,0,0,0,0
6202,SPEED,300,6478,14054,40,18,182,-167,0,0,0,0,0
