ts_ms,phase,val,pos_steps,spd_sps,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
537,SPEED,200,129526,1043,0,28,-248,-1,0,0,0,0,0
587,SPEED,200,129581,1142,0,28,-248,-1,0,0,0,0,0
637,SPEED,200,129640,1243,2,28,242,-49,0,0,0,0,0
687,SPEED,200,129705,1342,2,28,242,-49,0,0,0,0,0
737,SPEED,200,129774,1441,2,28,242,-49,0,0,0,0,0
787,SPEED,200,129849,1540,2,28,242,-49,0,0,0,0,0
837,SPEED,200,129928,1642,2,28,242,-49,0,0,0,0,0
887,SPEED,200,130013,1743,2,28,242,-49,0,0,0,0,0
937,SPEED,200,130102,1841,2,28,242,-49,0,0,0,0,0
987,SPEED,200,130197,1939,0,28,-55,-242,0,0,0,0,0
1037,SPEED,200,130296,2039,0,28,-55,-242,0,0,0,0,0
1087,SPEED,200,130401,2141,0,28,-55,-242,0,0,0,0,0
1137,SPEED,200,130510,2242,0,28,-55,-242,0,0,0,0,0
1187,SPEED,200,130625,2337,0,28,-55,-242,0,0,0,0,0
1237,SPEED,200,130744,2439,0,28,-55,-242,0,0,0,0,0
1287,SPEED,200,130869,2539,2,28,169,179,0,0,0,0,0
1337,SPEED,200,130998,2642,2,28,169,179,0,0,0,0,0
1387,SPEED,200,131132,2743,2,28,169,179,0,0,0,0,0
1938,SPEED,300,132945,3842,2,28,67,237,0,0,0,0,0
1988,SPEED,300,133140,3942,2,28,67,237,0,0,0,0,0
2038,SPEED,300,133339,4040,2,28,67,237,0,0,0,0,0
2088,SPEED,300,133544,4138,2,28,67,237,0,0,0,0,0
2138,SPEED,300,133753,4241,2,28,67,237,0,0,0,0,0
2188,SPEED,300,133968,4340,2,28,67,237,0,0,0,0,0
2238,SPEED,300,134187,4441,2,28,67,237,0,0,0,0,0
2288,SPEED,300,134412,4537,2,28,32,245,0,0,0,0,0
2338,SPEED,300,134641,4637,2,28,32,245,0,0,0,0,0
2388,SPEED,300,134875,4733,2,28,32,245,0,0,0,0,0
2438,SPEED,300,135115,4836,2,28,32,245,0,0,0,0,0
2488,SPEED,300,135359,4935,2,28,32,245,0,0,0,0,0
3039,SPEED,400,138376,6024,4,28,246,-24,0,0,0,0,0
3089,SPEED,400,138679,6120,4,28,246,-24,0,0,0,0,0
3139,SPEED,400,138988,6220,4,28,246,-24,0,0,0,0,0
3189,SPEED,400,139301,6324,4,28,246,-24,0,0,0,0,0
3239,SPEED,400,139620,6420,2,28,246,-24,0,0,0,0,0
3289,SPEED,400,139944,6525,2,28,190,157,0,0,0,0,0
3339,SPEED,400,140272,6622,2,28,190,157,0,0,0,0,0
3389,SPEED,400,140605,6722,2,28,190,157,0,0,0,0,0
3439,SPEED,400,140944,6825,2,28,190,157,0,0,0,0,0
3489,SPEED,400,141287,6914,2,28,190,157,0,0,0,0,0
4040,SPEED,500,145403,8028,8,28,-98,-228,0,0,0,0,0
4090,SPEED,500,145807,8113,8,28,-98,-228,0,0,0,0,0
4140,SPEED,500,146215,8226,8,28,-98,-228,0,0,0,0,0
4190,SPEED,500,146629,8324,8,28,-98,-228,0,0,0,0,0
4240,SPEED,500,147047,8416,6,28,-128,-212,0,0,0,0,0
4290,SPEED,500,147471,8519,6,28,-128,-212,0,0,0,0,0
4340,SPEED,500,147899,8620,6,28,-128,-212,0,0,0,0,0
4390,SPEED,500,148332,8714,6,28,-128,-212,0,0,0,0,0
4440,SPEED,500,148771,8810,6,28,-128,-212,0,0,0,0,0
4490,SPEED,500,149214,8918,6,28,-128,-212,0,0,0,0,0
5041,SPEED,600,154431,10025,8,28,-197,-151,0,0,0,0,0
5091,SPEED,600,154934,10113,8,28,-197,-151,0,0,0,0,0
5141,SPEED,600,155442,10230,8,28,-197,-151,0,0,0,0,0
5191,SPEED,600,155956,10309,8,28,-197,-151,0,0,0,0,0
5241,SPEED,600,156474,10423,8,28,-218,-119,0,0,0,0,0
5291,SPEED,600,156998,10526,8,28,-218,-119,0,0,0,0,0
5341,SPEED,600,157526,10610,8,28,-218,-119,0,0,0,0,0
5391,SPEED,600,158060,10723,8,28,-218,-119,0,0,0,0,0
5441,SPEED,600,158598,10810,8,28,-218,-119,0,0,0,0,0
5491,SPEED,600,159141,10914,8,28,-218,-119,0,0,0,0,0
6042,SPEED,700,165460,12012,10,28,-248,-14,0,0,0,0,0
6092,SPEED,700,166063,12112,10,28,-248,-14,0,0,0,0,0
6142,SPEED,700,166671,12213,10,28,-248,-14,0,0,0,0,0
6192,SPEED,700,167284,12307,10,28,-248,-14,0,0,0,0,0
6242,SPEED,700,167902,12412,10,28,-248,-14,0,0,0,0,0
6292,SPEED,700,168525,12509,10,28,187,-161,0,0,0,0,0
6342,SPEED,700,169154,12618,10,28,187,-161,0,0,0,0,0
6392,SPEED,700,169787,12718,10,28,187,-161,0,0,0,0,0
6442,SPEED,700,170425,12800,10,28,187,-161,0,0,0,0,0
6492,SPEED,700,171068,12903,10,28,187,-161,0,0,0,0,0
7043,SPEED,800,178479,13998,36,28,245,29,0,0,0,0,0
7093,SPEED,800,179181,14096,36,28,245,29,0,0,0,0,0
7143,SPEED,800,179888,14184,36,28,245,29,0,0,0,0,0
7193,SPEED,800,180600,14285,36,28,245,29,0,0,0,0,0
7243,SPEED,800,181317,14401,14,28,-183,-167,0,0,0,0,0
7293,SPEED,800,182039,14492,14,28,-183,-167,0,0,0,0,0
7343,SPEED,800,182766,14598,14,28,-183,-167,0,0,0,0,0
7393,SPEED,800,183498,14692,14,28,-183,-167,0,0,0,0,0
7443,SPEED,800,184235,14801,14,28,-183,-167,0,0,0,0,0
7493,SPEED,800,184977,14897,14,28,-183,-167,0,0,0,0,0
8044,SPEED,900,193488,16000,14,28,-156,192,0,0,0,0,0
8094,SPEED,900,194290,16096,14,28,-156,192,0,0,0,0,0
8144,SPEED,900,195097,16177,14,28,-156,192,0,0,0,0,0
8194,SPEED,900,195908,16276,22,28,168,180,0,0,0,0,0
8244,SPEED,900,196725,16393,22,28,168,180,0,0,0,0,0
8294,SPEED,900,197546,16494,22,28,168,180,0,0,0,0,0
8344,SPEED,900,198372,16580,22,28,168,180,0,0,0,0,0
8394,SPEED,900,199204,16666,22,28,168,180,0,0,0,0,0
8444,SPEED,900,200040,16771,22,28,168,180,0,0,0,0,0
8494,SPEED,900,200881,16877,22,28,168,180,0,0,0,0,0
9045,SPEED,1000,210482,17957,18,28,-132,209,0,0,0,0,0
9095,SPEED,1000,211383,18079,18,28,-132,209,0,0,0,0,0
9145,SPEED,1000,212289,18140,18,28,-132,209,0,0,0,0,0
9195,SPEED,1000,213200,18285,20,28,-123,-215,0,0,0,0,0
9245,SPEED,1000,214116,18390,20,28,-123,-215,0,0,0,0,0
9295,SPEED,1000,215038,18475,20,28,-123,-215,0,0,0,0,0
9345,SPEED,1000,215964,18583,20,28,-123,-215,0,0,0,0,0
9395,SPEED,1000,216895,18669,20,28,-123,-215,0,0,0,0,0
9445,SPEED,1000,217832,18779,20,28,-123,-215,0,0,0,0,0
9495,SPEED,1000,218772,18890,20,28,-123,-215,0,0,0,0,0
10046,SPEED,1100,229475,19975,26,28,-218,-119,0,0,0,0,0
10096,SPEED,1100,230476,20075,26,28,-218,-119,0,0,0,0,0
10146,SPEED,1100,231482,20176,26,28,-218,-119,0,0,0,0,0
10196,SPEED,1100,232494,20253,26,28,-183,166,0,0,0,0,0
10246,SPEED,1100,233509,20356,26,28,-183,166,0,0,0,0,0
10296,SPEED,1100,234531,20486,26,28,-183,166,0,0,0,0,0
10346,SPEED,1100,235557,20565,26,28,-183,166,0,0,0,0,0
10396,SPEED,1100,236588,20671,26,28,-183,166,0,0,0,0,0
10446,SPEED,1100,237624,20752,26,28,-183,166,0,0,0,0,0
10496,SPEED,1100,238664,20860,26,28,-183,166,0,0,0,0,0
11047,SPEED,1200,250462,21978,38,28,-185,164,0,0,0,0,0
11097,SPEED,1200,251562,22068,38,28,-185,164,0,0,0,0,0
11147,SPEED,1200,252668,22160,38,28,-185,164,0,0,0,0,0
11197,SPEED,1200,253779,22284,26,28,-199,-148,0,0,0,0,0
11247,SPEED,1200,254894,22346,26,28,-199,-148,0,0,0,0,0
11297,SPEED,1200,256013,22440,26,28,-199,-148,0,0,0,0,0
11347,SPEED,1200,257138,22535,26,28,-199,-148,0,0,0,0,0
11397,SPEED,1200,258268,22630,26,28,-199,-148,0,0,0,0,0
11447,SPEED,1200,259403,22759,26,28,-199,-148,0,0,0,0,0
11497,SPEED,1200,260543,22857,26,28,-199,-148,0,0,0,0,0
12048,SPEED,1300,273437,23952,50,28,234,79,0,0,0,0,0
12098,SPEED,1300,274637,24060,50,28,234,79,0,0,0,0,0
12148,SPEED,1300,275842,24169,50,28,234,79,0,0,0,0,0
12198,SPEED,1300,277052,24242,42,28,234,79,0,0,0,0,0
12248,SPEED,1300,278267,24353,42,28,-36,-245,0,0,0,0,0
12298,SPEED,1300,279487,24427,42,28,-36,-245,0,0,0,0,0
12348,SPEED,1300,280711,24539,42,28,-36,-245,0,0,0,0,0
12398,SPEED,1300,281940,24653,42,28,-36,-245,0,0,0,0,0
12448,SPEED,1300,283176,24767,42,28,-36,-245,0,0,0,0,0
12498,SPEED,1300,284416,24844,42,28,-36,-245,0,0,0,0,0
13049,SPEED,1400,298410,25931,56,28,-244,-43,0,0,0,0,0
13099,SPEED,1400,299709,26058,56,28,-244,-43,0,0,0,0,0
13149,SPEED,1400,301014,26143,56,28,-244,-43,0,0,0,0,0
13199,SPEED,1400,302324,26229,48,28,-244,44,0,0,0,0,0
13249,SPEED,1400,303639,26359,48,28,-244,44,0,0,0,0,0
13299,SPEED,1400,304959,26446,48,28,-244,44,0,0,0,0,0
