ts_ms,phase,val,pos_steps,spd_sps,real_rpm,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
3423,SPEED,2000,169354,101910,0,138,28,-183,166,0,0,0,0,0
3473,SPEED,2000,174539,103225,0,138,28,-183,166,0,0,0,0,0
3523,SPEED,2000,179730,104575,0,116,28,244,38,0,0,0,0,0
3573,SPEED,2000,184998,105960,0,116,28,244,38,0,0,0,0,0
3623,SPEED,2000,190328,106666,0,116,28,244,38,0,0,0,0,0
3673,SPEED,2000,195661,106666,0,116,28,244,38,0,0,0,0,0
3723,SPEED,2000,200995,106666,0,116,28,244,38,0,0,0,0,0
3773,SPEED,2000,206329,106666,0,116,28,244,38,0,0,0,0,0
3823,SPEED,2000,211662,106666,0,102,28,137,205,0,0,0,0,0
3873,SPEED,2000,216994,106666,0,102,28,137,205,0,0,0,0,0
3924,SPEED,2100,222387,106666,0,102,28,137,205,0,0,0,0,0
3974,SPEED,2100,227775,107382,0,102,28,137,205,0,0,0,0,0
4024,SPEED,2100,233174,108843,0,102,28,137,205,0,0,0,0,0
4074,SPEED,2100,238649,110344,0,102,28,137,205,0,0,0,0,0
4124,SPEED,2100,244205,111888,0,102,28,137,205,0,0,0,0,0
4174,SPEED,2100,249801,111888,0,80,28,-96,228,0,0,0,0,0
4224,SPEED,2100,255391,111888,0,80,28,-96,228,0,0,0,0,0
4274,SPEED,2100,260985,111888,0,80,28,-96,228,0,0,0,0,0
4324,SPEED,2100,266580,111888,0,80,28,-96,228,0,0,0,0,0
4374,SPEED,2100,272175,111888,0,80,28,-96,228,0,0,0,0,0
4425,SPEED,2200,277838,111888,0,80,28,-96,228,0,0,0,0,0
4475,SPEED,2200,283485,112676,0,90,28,-5,-248,0,0,0,0,0
4525,SPEED,2200,289143,114285,0,90,28,-5,-248,0,0,0,0,0
4575,SPEED,2200,294880,115107,0,90,28,-5,-248,0,0,0,0,0
4625,SPEED,2200,300693,116788,0,90,28,-5,-248,0,0,0,0,0
