ts_ms,phase,val,pos_steps,spd_sps,real_rpm,pulse_cnt,sg_result,cs_actual,cur_a,cur_b,stall,otpw,ot,ola,olb
64,SPEED,300,6201179,0,0,51980,18,6,-228,-97,0,0,0,1,1
114,SPEED,300,6201221,1642,0,51980,18,6,-228,-97,0,0,0,1,1
164,SPEED,300,6201339,3105,0,51980,2,6,-228,-97,0,0,0,1,1
214,SPEED,300,6201533,4659,0,51980,2,25,6,247,0,0,0,0,0
264,SPEED,300,6201802,6139,0,51980,2,25,6,247,0,0,0,0,0
314,SPEED,300,6202147,7633,0,51980,0,25,6,247,1,0,0,0,0
364,SPEED,300,6202566,9142,0,51980,0,25,6,247,1,0,0,0,0
414,SPEED,300,6203062,10652,0,51980,0,25,6,247,1,0,0,0,0
464,SPEED,300,6203632,12158,0,51980,2,25,-245,-36,0,0,0,0,0
514,SPEED,300,6204277,13628,2068,52002,2,25,-245,-36,0,0,0,0,0
564,SPEED,300,6204997,15165,2068,52002,18,25,242,-49,0,0,0,0,0
614,SPEED,300,6205779,16000,2068,52002,18,25,242,-49,0,0,0,0,0
664,SPEED,300,6206585,16000,2068,52002,18,25,242,-49,0,0,0,0,0
714,SPEED,300,6207385,16000,2608,52026,18,25,241,-55,0,0,0,0,0
764,SPEED,300,6208185,16000,2608,52026,18,25,241,-55,0,0,0,0,0
814,SPEED,300,6208985,16000,2608,52026,16,25,241,-55,0,0,0,0,0
864,SPEED,300,6209785,16000,2608,52026,16,25,233,-81,0,0,0,0,0
914,SPEED,300,6210585,16000,2727,52045,16,25,233,-81,0,0,0,0,0
964,SPEED,300,6211385,16000,2727,52045,18,25,232,-84,0,0,0,0,0
1014,SPEED,300,6212185,16000,2727,52045,18,25,232,-84,0,0,0,0,0
1064,SPEED,400,6212987,16000,2727,52045,18,25,232,-84,0,0,0,0,0
1114,SPEED,400,6213802,17039,2727,52081,16,25,233,-81,0,0,0,0,0
1164,SPEED,400,6214690,18497,2727,52081,16,25,233,-81,0,0,0,0,0
1214,SPEED,400,6215652,19975,2727,52081,20,25,229,92,0,0,0,0,0
1264,SPEED,400,6216690,21333,400,52091,20,25,229,92,0,0,0,0,0
1314,SPEED,400,6217757,21333,3333,52102,20,25,229,92,0,0,0,0,0
1364,SPEED,400,6218823,21333,3333,52102,24,25,149,197,0,0,0,0,0
1414,SPEED,400,6219890,21333,454,52117,24,25,149,197,0,0,0,0,0
1464,SPEED,400,6220957,21333,3333,52136,36,25,-246,29,0,0,0,0,0
1514,SPEED,400,6222023,21333,3333,52136,36,25,-246,29,0,0,0,0,0
1564,SPEED,400,6223090,21333,454,52152,36,25,-246,29,0,0,0,0,0
1614,SPEED,400,6224149,21333,3333,52164,26,25,97,-228,0,0,0,0,0
1664,SPEED,400,6225223,21333,3333,52164,26,25,97,-228,0,0,0,0,0
1714,SPEED,400,6226290,21333,454,52170,38,25,147,198,0,0,0,0,0
1764,SPEED,400,6227357,21333,3333,52179,38,25,147,198,0,0,0,0,0
1814,SPEED,400,6228423,21333,3333,52179,38,25,147,198,0,0,0,0,0
1864,SPEED,400,6229490,21333,454,52185,36,25,96,-228,0,0,0,0,0
1914,SPEED,400,6230557,21333,3333,52191,36,25,96,-228,0,0,0,0,0
1964,SPEED,400,6231623,21333,3333,52191,24,25,-247,20,0,0,0,0,0
2014,SPEED,400,6232690,21333,454,52204,24,25,-247,20,0,0,0,0,0
2064,SPEED,500,6233758,21333,3333,52216,24,25,-247,20,0,0,0,0,0
2114,SPEED,500,6234838,22253,3333,52216,24,25,126,-213,0,0,0,0,0
2164,SPEED,500,6235988,23774,465,52224,24,25,126,-213,0,0,0,0,0
2214,SPEED,500,6237214,25236,3750,52246,46,25,-19,-247,0,0,0,0,0
2264,SPEED,500,6238514,26666,3750,52246,46,25,-19,-247,0,0,0,0,0
2314,SPEED,500,6239847,26666,4000,52260,46,25,-19,-247,0,0,0,0,0
2364,SPEED,500,6241180,26666,4000,52260,32,25,-60,-240,0,0,0,0,0
2414,SPEED,500,6242514,26666,4285,52287,32,25,-60,-240,0,0,0,0,0
2464,SPEED,500,6243848,26666,4285,52287,32,25,-60,-240,0,0,0,0,0
2514,SPEED,500,6245181,26666,4285,52287,58,25,-182,-168,0,0,0,0,0
2564,SPEED,500,6246514,26666,4285,52309,58,25,-182,-168,0,0,0,0,0
2614,SPEED,500,6247847,26666,4285,52309,32,25,-51,242,0,0,0,0,0
2664,SPEED,500,6249180,26666,4285,52334,32,25,-51,242,0,0,0,0,0
2714,SPEED,500,6250514,26666,4285,52334,34,25,-51,242,0,0,0,0,0
2764,SPEED,500,6251847,26666,576,52343,34,25,236,-73,0,0,0,0,0
2814,SPEED,500,6253180,26666,4285,52355,34,25,236,-73,0,0,0,0,0
2864,SPEED,500,6254514,26666,4285,52355,48,25,-238,72,0,0,0,0,0
2914,SPEED,500,6255847,26666,4000,52370,48,25,-238,72,0,0,0,0,0
2964,SPEED,500,6257180,26666,4000,52370,36,25,-238,72,0,0,0,0,0
3014,SPEED,500,6258514,26666,4285,52396,36,25,187,160,0,0,0,0,0
3064,SPEED,600,6259849,26666,4285,52396,36,25,187,160,0,0,0,0,0
3114,SPEED,600,6261195,27538,4285,52396,56,25,104,224,0,0,0,0,0
3164,SPEED,600,6262609,29038,4285,52419,56,25,104,224,0,0,0,0,0
3214,SPEED,600,6264100,30592,4285,52419,56,25,104,224,0,0,0,0,0
3264,SPEED,600,6265666,32000,4615,52457,72,25,1,-248,0,0,0,0,0
3314,SPEED,600,6267266,32000,4615,52457,72,25,1,-248,0,0,0,0,0
3364,SPEED,600,6268866,32000,5000,52471,78,25,-246,-34,0,0,0,0,0
3414,SPEED,600,6270466,32000,5000,52471,78,25,-246,-34,0,0,0,0,0
3465,SPEED,600,6272098,32000,5000,52497,78,25,-246,-34,0,0,0,0,0
3515,SPEED,600,6273699,32000,5000,52497,46,25,247,10,0,0,0,0,0
3565,SPEED,600,6275298,32000,5000,52522,46,25,247,10,0,0,0,0,0
3615,SPEED,600,6276898,32000,5000,52522,114,25,-246,-34,0,0,0,0,0
3665,SPEED,600,6278498,32000,5000,52554,114,25,-246,-34,0,0,0,0,0
3715,SPEED,600,6280098,32000,5000,52554,114,25,-246,-34,0,0,0,0,0
3765,SPEED,600,6281698,32000,4615,52568,78,25,-245,-36,0,0,0,0,0
3815,SPEED,600,6283298,32000,4615,52568,78,25,-245,-36,0,0,0,0,0
3865,SPEED,600,6284898,32000,5000,52599,106,25,-247,-25,0,0,0,0,0
3915,SPEED,600,6286498,32000,5000,52599,106,25,-247,-25,0,0,0,0,0
3965,SPEED,600,6288098,32000,5000,52625,106,25,-247,-25,0,0,0,0,0
4015,SPEED,600,6289698,32000,5000,52625,110,25,-248,-10,0,0,0,0,0
4065,SPEED,700,6291298,32000,5000,52643,110,25,-248,-10,0,0,0,0,0
