ts_ms,m,phase,val,pos,sps,rpm,pulses,sg,cs,cur_a,cur_b,stall,otpw,ot,ola,olb
11562,2,SPEED_SETTLE,300,0,0,271,36,14,25,236,73,0,0,0,1,1
11624,2,SPEED_SETTLE,300,64,2069,271,36,14,25,222,107,0,0,0,1,0
11684,2,SPEED_SETTLE,300,244,3980,271,36,14,25,222,107,0,0,0,1,0
11744,2,SPEED_SETTLE,300,541,5904,0,36,14,25,222,107,0,0,0,1,0
11804,2,SPEED_SETTLE,300,952,7866,0,36,60,25,230,90,0,0,0,1,0
11864,2,SPEED_SETTLE,300,1480,9779,0,36,60,25,230,90,0,0,0,1,0
11924,2,SPEED_SETTLE,300,2123,11713,0,36,60,25,230,90,0,0,0,1,0
11984,2,SPEED_SETTLE,300,2881,13582,0,36,98,25,158,-190,0,0,0,1,0
12044,2,SPEED_SETTLE,300,3754,15518,0,36,98,25,158,-190,0,0,0,1,0
12104,2,SPEED_SETTLE,300,4709,16000,0,36,98,25,158,-190,0,0,0,1,0
12169,2,SPEED_SETTLE,300,5750,16000,0,36,98,25,158,-190,0,0,0,1,0
12230,2,SPEED_SETTLE,300,6726,16000,23,37,132,25,164,-185,0,0,0,1,0
13271,2,SPEED_RATIO,300,23390,16000,75,38,136,25,-179,-172,0,0,0,1,0
20141,2,INERT_H,0,0,0,12,40,2,25,97,227,0,0,0,1,0
22386,2,KAT,1080,68667,57553,1090,60,470,25,-67,-239,0,0,0,1,0
24668,2,KAT,1080,155474,57553,1090,86,468,25,-228,97,0,0,0,1,0
26947,2,KAT,1080,242103,57553,1090,113,426,25,60,-240,0,0,0,1,0
30260,2,CS_HI,900,28358,57553,1090,128,456,25,-115,-219,0,0,0,1,0
30321,2,CS_HI,900,31867,57553,705,129,456,25,-115,-219,0,0,0,1,0
30381,2,CS_HI,900,35320,57553,705,129,456,25,-115,-219,0,0,0,1,0
30441,2,CS_HI,900,38773,57553,705,129,302,28,-58,240,0,0,0,1,0
30501,2,CS_HI,900,42227,57553,705,129,302,28,-58,240,0,0,0,1,0
30565,2,CS_HI,900,45912,57553,269,130,302,28,-58,240,0,0,0,1,0
30627,2,CS_HI,900,49479,57553,269,130,304,28,-37,244,0,0,0,1,0
30687,2,CS_HI,900,52931,57553,269,130,304,28,-37,244,0,0,0,1,0
30747,2,CS_HI,900,56385,57553,270,131,304,28,-37,244,0,0,0,1,0
30808,2,CS_HI,900,59896,57553,270,131,302,28,-37,244,0,0,0,1,0
30868,2,CS_HI,900,63349,57553,270,131,302,28,-229,-96,0,0,0,1,0
30928,2,CS_HI,900,66802,57553,270,131,302,28,-229,-96,0,0,0,1,0
30988,2,CS_HI,900,70255,57553,269,132,302,28,-229,-96,0,0,0,1,0
31048,2,CS_HI,900,73709,57553,269,132,300,28,167,-182,0,0,0,1,0
35564,2,COAST,0,25637,21333,400,144,360,25,-96,-229,0,0,0,1,0
35625,2,COAST,0,26931,21333,400,144,360,25,-96,-229,0,0,0,1,0
35685,2,COAST,0,28211,21333,400,144,360,25,-96,-229,0,0,0,1,0
35745,2,COAST,0,29491,21333,400,144,342,25,-172,178,0,0,0,1,0
35805,2,COAST,0,30771,21333,400,144,342,25,-172,178,0,0,0,1,0
35865,2,COAST,0,32051,21333,400,144,342,25,-172,178,0,0,0,1,0
35926,2,COAST,0,33352,21333,400,144,342,25,-172,178,0,0,0,1,0
35986,2,COAST,0,34632,21333,400,144,342,25,-65,-239,0,0,0,1,0
36045,2,COAST,0,35900,21333,400,144,342,25,-65,-239,0,0,0,1,0
36107,2,COAST,0,37214,21333,400,144,342,25,-65,-239,0,0,0,1,0
36168,2,COAST,0,38515,21333,400,144,342,25,-151,196,0,0,0,1,0
36228,2,COAST,0,39795,21333,400,144,342,25,-151,196,0,0,0,1,0
36288,2,COAST,0,41075,21333,400,144,342,25,-151,196,0,0,0,1,0
36348,2,COAST,0,42355,21333,400,144,342,25,-96,-229,0,0,0,1,0
36408,2,COAST,0,43635,21333,400,144,342,25,-96,-229,0,0,0,1,0
